id_wikidata,material,grade
Q626225,Educación Física y Salud,scuola media italiana
Q676191,Ciencias naturales,scuola media italiana
Q17888,Ciencias naturales,scuola media italiana
Q740777,Tecnología,scuola media italiana
Q3875186,Tecnología,scuola media italiana
Q846227,Ciencias naturales,scuola media italiana
Q6368,Tecnología,scuola media italiana
Q6368,Tecnología,scuola media italiana
Q4182287,Tecnología,scuola media italiana
Q4182287,Tecnología,scuola media italiana
Q4182287,Tecnología,scuola media italiana
Q4182287,Tecnología,scuola media italiana
Q5268834,Tecnología,scuola media italiana
Q5268834,Tecnología,scuola media italiana
Q5268834,Tecnología,scuola media italiana
Q3139104,Artes Visuales,scuola media italiana
Q3240978,Ciencias naturales,scuola media italiana
Q3647968,Educación Física y Salud,scuola media italiana
Q128700,Ciencias naturales,scuola media italiana
Q832237,Tecnología,scuola media italiana
Q841486,Tecnología,scuola media italiana
Q3908516,Tecnología,scuola media italiana
Q13703,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q131201,Tecnología,scuola media italiana
Q131201,Tecnología,scuola media italiana
Q131201,Tecnología,scuola media italiana
Q7174,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q5190255,Tecnología,scuola media italiana
Q131212,Tecnología,scuola media italiana
Q3494251,Tecnología,scuola media italiana
Q15787,Ciencias naturales,scuola media italiana
Q816432,Tecnología,scuola media italiana
Q3122657,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q18965,Tecnología,scuola media italiana
Q18965,Tecnología,scuola media italiana
Q3621310,Tecnología,scuola media italiana
Q3621310,Tecnología,scuola media italiana
Q5078274,Tecnología,scuola media italiana
Q5078274,Tecnología,scuola media italiana
Q4115079,Tecnología,scuola media italiana
Q4115079,Tecnología,scuola media italiana
Q4115079,Tecnología,scuola media italiana
Q4115079,Tecnología,scuola media italiana
Q4115079,Tecnología,scuola media italiana
Q4431071,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q3319076,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q25288,Ciencias naturales,scuola media italiana
Q828107,Artes Visuales,scuola media italiana
Q123619,Ciencias naturales,scuola media italiana
Q16338,Tecnología,scuola media italiana
Q7937,Ciencias naturales,scuola media italiana
Q14674,Tecnología,scuola media italiana
Q14674,Tecnología,scuola media italiana
Q14674,Tecnología,scuola media italiana
Q844342,Ciencias naturales,scuola media italiana
Q7270,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q121359,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q3320364,Tecnología,scuola media italiana
Q846574,Inglés,scuola media italiana
Q846574,Tecnología,scuola media italiana
Q838988,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q107647,Ciencias naturales,scuola media italiana
Q851598,Tecnología,scuola media italiana
Q814232,Matemática,scuola media italiana
Q845734,Artes Visuales,scuola media italiana
Q3405827,Artes Visuales,scuola media italiana
Q3220391,Tecnología,scuola media italiana
Q3220391,Tecnología,scuola media italiana
Q3655495,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q843894,Tecnología,scuola media italiana
Q14076,Ciencias naturales,scuola media italiana
Q816441,Ciencias naturales,scuola media italiana
Q132580,Artes Visuales,scuola media italiana
Q132595,Ciencias naturales,scuola media italiana
Q780687,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q730920,Tecnología,scuola media italiana
Q730920,Tecnología,scuola media italiana
Q730920,Tecnología,scuola media italiana
Q730920,Tecnología,scuola media italiana
Q730920,Tecnología,scuola media italiana
Q19081,Ciencias naturales,scuola media italiana
Q4918,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q132580,Tecnología,scuola media italiana
Q159341,Ciencias naturales,scuola media italiana
Q5110203,Ciencias naturales,scuola media italiana
Q6293,Artes Visuales,scuola media italiana
Q165309,Matemática,scuola media italiana
Q757012,Tecnología,scuola media italiana
Q757012,Tecnología,scuola media italiana
Q757012,Tecnología,scuola media italiana
Q843684,Matemática,scuola media italiana
Q7269,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q134808,Ciencias naturales,scuola media italiana
Q3497127,Artes Visuales,scuola media italiana
Q4430243,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q760132,Educación Física y Salud,scuola media italiana
Q133442,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q128393,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q4630639,Artes Visuales,scuola media italiana
Q3307661,Ciencias naturales,scuola media italiana
Q3797607,Matemática,scuola media italiana
Q852220,Educación Física y Salud,scuola media italiana
Q827792,Tecnología,scuola media italiana
Q827792,Tecnología,scuola media italiana
Q827792,Tecnología,scuola media italiana
Q7868,Ciencias naturales,scuola media italiana
Q4374193,Tecnología,scuola media italiana
Q739302,Tecnología,scuola media italiana
Q739302,Tecnología,scuola media italiana
Q739302,Tecnología,scuola media italiana
Q739302,Tecnología,scuola media italiana
Q739302,Tecnología,scuola media italiana
Q739302,Tecnología,scuola media italiana
Q3962655,Inglés,scuola media italiana
Q3427818,Tecnología,scuola media italiana
Q778806,Matemática,scuola media italiana
Q15284,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q734219,Matemática,scuola media italiana
Q122224,Ciencias naturales,scuola media italiana
Q841628,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q842083,Ciencias naturales,scuola media italiana
Q101896,Ciencias naturales,scuola media italiana
Q17278,Matemática,scuola media italiana
Q3246226,Ciencias naturales,scuola media italiana
Q154136,Ciencias naturales,scuola media italiana
Q22692,Artes Visuales,scuola media italiana
Q3649349,Ciencias naturales,scuola media italiana
Q4530482,Tecnología,scuola media italiana
Q762856,Matemática,scuola media italiana
Q170065,Ciencias naturales,scuola media italiana
Q1043452,Tecnología,scuola media italiana
Q172280,Ciencias naturales,scuola media italiana
Q25294,Tecnología,scuola media italiana
Q1156900,Matemática,scuola media italiana
Q6216634,Tecnología,scuola media italiana
Q166142,Tecnología,scuola media italiana
Q33456,Matemática,scuola media italiana
Q170161,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q169336,Ciencias naturales,scuola media italiana
Q6086694,Tecnología,scuola media italiana
Q6086694,Tecnología,scuola media italiana
Q6086694,Tecnología,scuola media italiana
Q1042783,Tecnología,scuola media italiana
Q6581097,Artes Visuales,scuola media italiana
Q10876,Ciencias naturales,scuola media italiana
Q174165,Tecnología,scuola media italiana
Q174165,Tecnología,scuola media italiana
Q174165,Tecnología,scuola media italiana
Q9158,Tecnología,scuola media italiana
Q9158,Tecnología,scuola media italiana
Q36192,Música,scuola media italiana
Q908691,Ciencias naturales,scuola media italiana
Q180388,Inglés,scuola media italiana
Q864088,Ciencias naturales,scuola media italiana
Q180388,Tecnología,scuola media italiana
Q864487,Tecnología,scuola media italiana
Q1007870,Artes Visuales,scuola media italiana
Q909284,Educación Física y Salud,scuola media italiana
Q7950,Ciencias naturales,scuola media italiana
Q167270,Tecnología,scuola media italiana
Q914874,Tecnología,scuola media italiana
Q1367353,Tecnología,scuola media italiana
Q1329623,Artes Visuales,scuola media italiana
Q11019,Tecnología,scuola media italiana
Q11019,Tecnología,scuola media italiana
Q6030991,Tecnología,scuola media italiana
Q1363963,Tecnología,scuola media italiana
Q1152037,Educación Física y Salud,scuola media italiana
Q180684,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q932522,Tecnología,scuola media italiana
Q932522,Tecnología,scuola media italiana
Q932522,Tecnología,scuola media italiana
Q932522,Tecnología,scuola media italiana
Q932522,Tecnología,scuola media italiana
Q932522,Tecnología,scuola media italiana
Q6129866,Tecnología,scuola media italiana
Q6129866,Tecnología,scuola media italiana
Q1338878,Artes Visuales,scuola media italiana
Q1338878,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q6102651,Ciencias naturales,scuola media italiana
Q170282,Ciencias naturales,scuola media italiana
Q9592,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q180548,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q1043226,Tecnología,scuola media italiana
Q1043226,Tecnología,scuola media italiana
Q1043226,Tecnología,scuola media italiana
Q7476596,Ciencias naturales,scuola media italiana
Q180436,Ciencias naturales,scuola media italiana
Q1165905,Ciencias naturales,scuola media italiana
Q28567,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q6106457,Educación Física y Salud,scuola media italiana
Q28877,Tecnología,scuola media italiana
Q28877,Tecnología,scuola media italiana
Q5611770,Tecnología,scuola media italiana
Q5854436,Tecnología,scuola media italiana
Q5854436,Tecnología,scuola media italiana
Q1318104,Tecnología,scuola media italiana
Q1064733,Tecnología,scuola media italiana
Q179465,Música,scuola media italiana
Q33506,Artes Visuales,scuola media italiana
Q8072,Ciencias naturales,scuola media italiana
Q7551001,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q864460,Ciencias naturales,scuola media italiana
Q36422,"Historia, Geografía y Ciencias Sociales",scuola media italiana
Q183197,Tecnología,scuola media italiana
Q183197,Tecnología,scuola media italiana
Q183197,Tecnología,scuola media italiana
Q7987,Tecnología,scuola media italiana
Q900604,Tecnología,scuola media italiana
Q956129,Tecnología,scuola media italiana
Q30849,Tecnología,scuola media italiana
